year,quarter,month,day_of_month,day_of_week,fl_date,op_unique_carrier,tail_num,op_carrier_fl_num,origin,dest,crs_dep_time,dep_time,dep_delay,dep_delay_new,taxi_out,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,source_file,route,dep_hour,block_time_error,underblocked,late_arrival,is_weekend
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N306NY,2282,DFW,ORF,1055,1049.0,-6.0,0.0,12.0,4.0,1452,1437.0,-15.0,0.0,0.0,0.0,0.0,177.0,168.0,152.0,1212.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DFW-ORF,10,-9.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N306NY,2282,ORF,DFW,1543,1535.0,-8.0,0.0,14.0,12.0,1804,1748.0,-16.0,0.0,0.0,0.0,0.0,201.0,193.0,167.0,1212.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,ORF-DFW,15,-8.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N306SP,545,CLT,DCA,2038,2031.0,-7.0,0.0,32.0,20.0,2206,2215.0,9.0,9.0,0.0,0.0,0.0,88.0,104.0,52.0,331.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,CLT-DCA,20,16.0,1,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N307TA,2897,MIA,DCA,2027,2021.0,-6.0,0.0,29.0,3.0,2300,2248.0,-12.0,0.0,0.0,0.0,0.0,153.0,147.0,115.0,919.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,MIA-DCA,20,-6.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N307UJ,775,MIA,ORF,2134,2127.0,-7.0,0.0,21.0,4.0,2359,2335.0,-24.0,0.0,0.0,0.0,0.0,145.0,128.0,103.0,802.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,MIA-ORF,21,-17.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N308UK,2752,DFW,DCA,1856,1954.0,58.0,58.0,12.0,4.0,2300,2338.0,38.0,38.0,1.0,0.0,0.0,184.0,164.0,148.0,1192.0,0.0,0.0,0.0,0.0,38.0,T_ONTIME_REPORTING OCT 2025.csv,DFW-DCA,18,-20.0,0,1,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N311UN,2648,MIA,DCA,1927,1922.0,-5.0,0.0,28.0,5.0,2200,2150.0,-10.0,0.0,0.0,0.0,0.0,153.0,148.0,115.0,919.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,MIA-DCA,19,-5.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N316RK,1251,LAS,DCA,1227,1219.0,-8.0,0.0,21.0,5.0,2015,1948.0,-27.0,0.0,0.0,0.0,0.0,288.0,269.0,243.0,2089.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,LAS-DCA,12,-19.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N316SE,401,DCA,MIA,659,646.0,-13.0,0.0,13.0,8.0,947,913.0,-34.0,0.0,0.0,0.0,0.0,168.0,147.0,126.0,919.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-MIA,6,-21.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N323RM,2182,DCA,CLT,1724,1721.0,-3.0,0.0,21.0,6.0,1909,1851.0,-18.0,0.0,0.0,0.0,0.0,105.0,90.0,63.0,331.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-CLT,17,-15.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N323RM,311,ORD,DCA,1337,1330.0,-7.0,0.0,20.0,2.0,1629,1624.0,-5.0,0.0,0.0,0.0,0.0,112.0,114.0,92.0,612.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,ORD-DCA,13,2.0,1,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N328RR,1178,DCA,MIA,600,549.0,-11.0,0.0,22.0,5.0,847,818.0,-29.0,0.0,0.0,0.0,0.0,167.0,149.0,122.0,919.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-MIA,6,-18.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N330TJ,2987,DCA,LAS,930,925.0,-5.0,0.0,20.0,9.0,1137,1113.0,-24.0,0.0,0.0,0.0,0.0,307.0,288.0,259.0,2089.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-LAS,9,-19.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N331TK,708,MIA,DCA,2123,2115.0,-8.0,0.0,12.0,4.0,2359,2329.0,-30.0,0.0,0.0,0.0,0.0,156.0,134.0,118.0,919.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,MIA-DCA,21,-22.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N335PH,2562,CLT,RIC,1405,1401.0,-4.0,0.0,12.0,5.0,1520,1503.0,-17.0,0.0,0.0,0.0,0.0,75.0,62.0,45.0,257.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,CLT-RIC,14,-13.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N335PH,2562,RIC,CLT,1625,1612.0,-13.0,0.0,16.0,9.0,1752,1722.0,-30.0,0.0,0.0,0.0,0.0,87.0,70.0,45.0,257.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,RIC-CLT,16,-17.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N336TM,2633,DCA,ORD,1049,1041.0,-8.0,0.0,17.0,14.0,1202,1144.0,-18.0,0.0,0.0,0.0,0.0,133.0,123.0,92.0,612.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-ORD,10,-10.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N338PK,2918,ORF,CLT,600,710.0,70.0,70.0,16.0,11.0,721,827.0,66.0,66.0,1.0,0.0,0.0,81.0,77.0,50.0,290.0,66.0,0.0,0.0,0.0,0.0,T_ONTIME_REPORTING OCT 2025.csv,ORF-CLT,6,-4.0,0,1,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N341SV,756,ORF,MIA,615,613.0,-2.0,0.0,16.0,10.0,841,833.0,-8.0,0.0,0.0,0.0,0.0,146.0,140.0,114.0,802.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,ORF-MIA,6,-6.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N347TT,2394,DCA,MIA,505,500.0,-5.0,0.0,30.0,4.0,747,741.0,-6.0,0.0,0.0,0.0,0.0,162.0,161.0,127.0,919.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-MIA,5,-1.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N349TV,1839,DCA,DFW,645,637.0,-8.0,0.0,16.0,13.0,908,835.0,-33.0,0.0,0.0,0.0,0.0,203.0,178.0,149.0,1192.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-DFW,6,-25.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N358PW,491,MIA,DCA,628,652.0,24.0,24.0,11.0,3.0,902,912.0,10.0,10.0,0.0,0.0,0.0,154.0,140.0,126.0,919.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,MIA-DCA,6,-14.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N358PW,795,DCA,DFW,1020,1014.0,-6.0,0.0,21.0,12.0,1249,1212.0,-37.0,0.0,0.0,0.0,0.0,209.0,178.0,145.0,1192.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-DFW,10,-31.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N404AN,3191,PHX,DCA,849,847.0,-2.0,0.0,25.0,3.0,1619,1617.0,-2.0,0.0,0.0,0.0,0.0,270.0,270.0,242.0,1979.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,PHX-DCA,8,0.0,0,0,0
